threshold,true_positives,false_positives,false_negatives,true_negatives,precision,recall,fraud_dollars_captured,fraud_dollars_missed,review_cost,decision_cost
0.001,73,6709,6,38781,0.010763786493659687,0.9240506329113924,7567.2,671.0600000000001,33545.0,34216.06
0.003507537688442211,73,5030,6,40460,0.014305310601606898,0.9240506329113924,7567.2,671.0600000000001,25150.0,25821.06
0.006015075376884422,70,2234,9,43256,0.030381944444444444,0.8860759493670886,7358.420000000001,879.8399999999999,11170.0,12049.84
0.008522613065326633,70,1448,9,44042,0.0461133069828722,0.8860759493670886,7358.420000000001,879.8399999999999,7240.0,8119.84
0.011030150753768845,70,1323,9,44167,0.05025125628140704,0.8860759493670886,7358.420000000001,879.8399999999999,6615.0,7494.84
0.013537688442211055,69,963,10,44527,0.06686046511627906,0.8734177215189873,7357.500000000001,880.7599999999999,4815.0,5695.76
0.016045226130653265,69,756,10,44734,0.08363636363636363,0.8734177215189873,7357.500000000001,880.7599999999999,3780.0,4660.76
0.01855276381909548,69,721,10,44769,0.08734177215189873,0.8734177215189873,7357.500000000001,880.7599999999999,3605.0,4485.76
0.02106030150753769,69,597,10,44893,0.1036036036036036,0.8734177215189873,7357.500000000001,880.7599999999999,2985.0,3865.7599999999998
0.0235678391959799,69,554,10,44936,0.11075441412520064,0.8734177215189873,7357.500000000001,880.7599999999999,2770.0,3650.7599999999998
0.02607537688442211,69,489,10,45001,0.12365591397849462,0.8734177215189873,7357.500000000001,880.7599999999999,2445.0,3325.7599999999998
0.028582914572864323,69,414,10,45076,0.14285714285714285,0.8734177215189873,7357.500000000001,880.7599999999999,2070.0,2950.7599999999998
0.031090452261306533,69,384,10,45106,0.152317880794702,0.8734177215189873,7357.500000000001,880.7599999999999,1920.0,2800.7599999999998
0.03359798994974875,69,343,10,45147,0.16747572815533981,0.8734177215189873,7357.500000000001,880.7599999999999,1715.0,2595.7599999999998
0.03610552763819096,69,301,10,45189,0.1864864864864865,0.8734177215189873,7357.500000000001,880.7599999999999,1505.0,2385.7599999999998
0.03861306532663317,69,286,10,45204,0.19436619718309858,0.8734177215189873,7357.500000000001,880.7599999999999,1430.0,2310.7599999999998
0.04112060301507538,68,255,11,45235,0.21052631578947367,0.8607594936708861,6906.230000000001,1332.03,1275.0,2607.0299999999997
0.04362814070351759,68,235,11,45255,0.22442244224422442,0.8607594936708861,6906.230000000001,1332.03,1175.0,2507.0299999999997
0.0461356783919598,68,225,11,45265,0.23208191126279865,0.8607594936708861,6906.230000000001,1332.03,1125.0,2457.0299999999997
0.04864321608040201,68,208,11,45282,0.2463768115942029,0.8607594936708861,6906.230000000001,1332.03,1040.0,2372.0299999999997
0.05115075376884422,68,192,11,45298,0.26153846153846155,0.8607594936708861,6906.230000000001,1332.03,960.0,2292.0299999999997
0.053658291457286435,68,184,11,45306,0.2698412698412698,0.8607594936708861,6906.230000000001,1332.03,920.0,2252.0299999999997
0.056165829145728645,68,160,11,45330,0.2982456140350877,0.8607594936708861,6906.230000000001,1332.03,800.0,2132.0299999999997
0.058673366834170855,68,152,11,45338,0.3090909090909091,0.8607594936708861,6906.230000000001,1332.03,760.0,2092.0299999999997
0.061180904522613065,68,142,11,45348,0.3238095238095238,0.8607594936708861,6906.230000000001,1332.03,710.0,2042.03
0.06368844221105528,68,130,11,45360,0.3434343434343434,0.8607594936708861,6906.230000000001,1332.03,650.0,1982.03
0.06619597989949749,68,120,11,45370,0.3617021276595745,0.8607594936708861,6906.230000000001,1332.03,600.0,1932.03
0.0687035175879397,68,113,11,45377,0.3756906077348066,0.8607594936708861,6906.230000000001,1332.03,565.0,1897.03
0.07121105527638191,66,103,13,45387,0.3905325443786982,0.8354430379746836,6629.300000000001,1608.96,515.0,2123.96
0.07371859296482412,66,93,13,45397,0.41509433962264153,0.8354430379746836,6629.300000000001,1608.96,465.0,2073.96
0.07622613065326633,66,83,13,45407,0.4429530201342282,0.8354430379746836,6629.300000000001,1608.96,415.0,2023.96
0.07873366834170854,66,80,13,45410,0.4520547945205479,0.8354430379746836,6629.300000000001,1608.96,400.0,2008.96
0.08124120603015075,66,74,13,45416,0.4714285714285714,0.8354430379746836,6629.300000000001,1608.96,370.0,1978.96
0.08374874371859296,65,68,14,45422,0.48872180451127817,0.8227848101265823,6628.540000000001,1609.72,340.0,1949.72
0.08625628140703517,65,65,14,45425,0.5,0.8227848101265823,6628.540000000001,1609.72,325.0,1934.72
0.08876381909547738,65,59,14,45431,0.5241935483870968,0.8227848101265823,6628.540000000001,1609.72,295.0,1904.72
0.0912713567839196,64,52,15,45438,0.5517241379310345,0.810126582278481,6627.54,1610.7199999999998,260.0,1870.7199999999998
0.0937788944723618,64,51,15,45439,0.5565217391304348,0.810126582278481,6627.54,1610.7199999999998,255.0,1865.7199999999998
0.09628643216080401,64,44,15,45446,0.5925925925925926,0.810126582278481,6627.54,1610.7199999999998,220.0,1830.7199999999998
